OCC_ID,OCC_str,template
5_540_54020,Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_House servants nfs and maids,Occupation: Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_House servants nfs and maids
7_756_75600,"Crafts and related trades workers_Bleachers, dyers and textile product finishers_Bleachers, dyer or textile product finisher","Occupation: Crafts and related trades workers_Bleachers, dyers and textile product finishers_Bleachers, dyer or textile product finisher"
5_540_54090,Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Other specified servants,Occupation: Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Other specified servants
1_219_22190,"Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, nec","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, nec"
2_72_7210,Professionals_Nursing personnel not elsewhere classified_Nurses nfs,Occupation: Professionals_Nursing personnel not elsewhere classified_Nurses nfs
5_581_58100,Service workers and shop and market sales_Firefighters_Firefighters,Occupation: Service workers and shop and market sales_Firefighters_Firefighters
8_734_73300,Plant and machine operators and assemblers_Paper makers_Papermill machine operators and paper makers,Occupation: Plant and machine operators and assemblers_Paper makers_Papermill machine operators and paper makers
7_949_94940,Crafts and related trades workers_Other production and related workers_Toy and doll makers,Occupation: Crafts and related trades workers_Other production and related workers_Toy and doll makers
3_141_14140,Technicians and associate professionals_Ministers of religion and related members of religious orders_Members of religious orders,Occupation: Technicians and associate professionals_Ministers of religion and related members of religious orders_Members of religious orders
7_776_77630,"Crafts and related trades workers_Bakers, pastrycooks and confectionery makers_Confectioners and pastry makers","Occupation: Crafts and related trades workers_Bakers, pastrycooks and confectionery makers_Confectioners and pastry makers"
3_163_16300,Technicians and associate professionals_Photographers and cameramen_Photographers,Occupation: Technicians and associate professionals_Photographers and cameramen_Photographers
9_971_97130,Elementary occupations_Dockers and freight handlers_Railway freight handlers,Occupation: Elementary occupations_Dockers and freight handlers_Railway freight handlers
3_73_7320,Technicians and associate professionals_Professional midwives_Midwives,Occupation: Technicians and associate professionals_Professional midwives_Midwives
5_432_43010,Service workers and shop and market sales_Commercial travellers and Manufacturers' agents_Agents nfs,Occupation: Service workers and shop and market sales_Commercial travellers and Manufacturers' agents_Agents nfs
5_510_51090,Service workers and shop and market sales_Working proprietors (catering and lodging services)_Other hospitality and entertainment keepers and managers,Occupation: Service workers and shop and market sales_Working proprietors (catering and lodging services)_Other hospitality and entertainment keepers and managers
5_540_54050,Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Companions,Occupation: Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Companions
2_132_13220,Professionals_Secondary education teachers_Teachers (secondary),Occupation: Professionals_Secondary education teachers_Teachers (secondary)
5_540_54040,Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Nursemaids,Occupation: Service workers and shop and market sales_Maids and related housekeeping service workers not elsewhere classified_Nursemaids
5_551_55100,Service workers and shop and market sales_Building caretakers_Caretakers and janitors,Occupation: Service workers and shop and market sales_Building caretakers_Caretakers and janitors
7_754_75400,Crafts and related trades workers_Weavers and related workers_Weavers,Occupation: Crafts and related trades workers_Weavers and related workers_Weavers
6_631_63130,Skilled agricultural and fishery workers_Loggers_River drivers,Occupation: Skilled agricultural and fishery workers_Loggers_River drivers
1_219_22150,"Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, other transport and communications","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, other transport and communications"
8_778_77880,"Plant and machine operators and assemblers_Brewers, wine and beverage makers_Bottlers","Occupation: Plant and machine operators and assemblers_Brewers, wine and beverage makers_Bottlers"
10_995_58420,Armed forces_Armed forces_Military officers,Occupation: Armed forces_Armed forces_Military officers
2_171_17120,"Professionals_Composers, musicians and singers_Musical performers and musicians nfs","Occupation: Professionals_Composers, musicians and singers_Musical performers and musicians nfs"
6_600_61400,"Skilled agricultural and fishery workers_Farm managers and supervisors_Farm managers, foremen and supervisors nfs","Occupation: Skilled agricultural and fishery workers_Farm managers and supervisors_Farm managers, foremen and supervisors nfs"
7_926_92600,Crafts and related trades workers_Bookbinders and related workers_Bookbinders and related workers,Occupation: Crafts and related trades workers_Bookbinders and related workers_Bookbinders and related workers
2_121_12110,Professionals_Lawyers_Lawyers,Occupation: Professionals_Lawyers_Lawyers
7_842_84220,"Crafts and related trades workers_Watch, clock and precision instrument makers_Watch and clock makers","Occupation: Crafts and related trades workers_Watch, clock and precision instrument makers_Watch and clock makers"
2_63_6200,Professionals_Dentists_Dentists,Occupation: Professionals_Dentists_Dentists
2_139_13210,Professionals_Teachers not elsewhere classified_Teachers (unspecified),Occupation: Professionals_Teachers not elsewhere classified_Teachers (unspecified)
2_61_6110,Professionals_Medical doctors_Medical doctors and physicians (UK: Medical doctors only),Occupation: Professionals_Medical doctors_Medical doctors and physicians (UK: Medical doctors only)
7_880_88030,Crafts and related trades workers_Jewellery and precious metal workers_Goldsmith,Occupation: Crafts and related trades workers_Jewellery and precious metal workers_Goldsmith
1_219_22140,"Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, railways","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, railways"
5_452_45220,"Service workers and shop and market sales_Street vendors, canvassers and newsvendors_Street sellers, pedlars and hawkers, non-food items","Occupation: Service workers and shop and market sales_Street vendors, canvassers and newsvendors_Street sellers, pedlars and hawkers, non-food items"
2_133_13230,Professionals_Primary education teachers_Teachers (primary),Occupation: Professionals_Primary education teachers_Teachers (primary)
4_310_31020,Clerks_Government executive officials_Tax collectors,Occupation: Clerks_Government executive officials_Tax collectors
5_589_58500,Service workers and shop and market sales_Protective service workers not elsewhere classified_Prison keepers and guards,Occupation: Service workers and shop and market sales_Protective service workers not elsewhere classified_Prison keepers and guards
